author_id,name,birth_year,sex,ethnicity,start_date,end_date
3497,ER TECK HWA,1973.0,male,chinese,2008-03-08,2018-04-07
5073,EWON BENEDICK,1983.0,male,bumiputera,2022-11-19,
3907,EWON EBIN,1955.0,male,bumiputera,2013-05-05,2018-04-07
4593,FADHLINA BINTI SIDEK,1977.0,female,bumiputera,2022-11-19,
3242,FADILAH BIN HAJI YUSOF,1962.0,male,bumiputera,2008-03-08,
4620,FATHUL HUZIR BIN AYOB,1983.0,male,bumiputera,2022-11-19,
2404,FAUZI ABDUL RAHMAN,1947.0,male,bumiputera,2013-05-05,2018-04-07
2471,FONG CHAN ONN,1944.0,male,chinese,2008-03-08,2013-04-03
2128,FONG KUI LUN,1946.0,male,chinese,2008-03-08,
2692,FONG PO KUAN,1974.0,female,chinese,2008-03-08,2013-04-03
4844,GANABATIRAU A/L VERAMAN,1973.0,male,bumiputera,2022-11-19,
5103,GAPARI BIN KATINGAN@ GEOFFREY KITINGAN,1947.0,male,bumiputera,2018-05-09,
3308,GOBALAKRISHNAN A/L NAGAPAN,1960.0,male,indian,2008-03-08,2013-04-03
3436,GOBIND SINGH DEO,1973.0,male,other,2008-03-08,
3294,GOOI HSIAO-LEUNG,1973.0,male,chinese,2013-05-05,2018-04-07
3438,GWO-BURNE LOH,1974.0,male,bumiputera,2008-03-08,2013-04-03
4836,HALIMAH ALI,1960.0,female,bumiputera,2022-11-19,
3515,HALIMAH BINTI MOHAMED SADIQUE,1962.0,female,bumiputera,2008-03-08,2022-10-10
3153,HAMIM BIN SAMURI,1958.0,male,bumiputera,2008-03-08,2018-04-07
