ge,state,parlimen,ballot_order,party,votes,result,result_desc,uid,name,birth_year,sex,ethnicity
12,Pahang,P.083 Kuantan,1,PARTI KEADILAN RAKYAT (PKR),18398,1,won,2716,FUZIAH SALLEH,1959,female,bumiputera
12,Pahang,P.083 Kuantan,2,BARISAN NASIONAL (BN),16572,0,lost,2141,FU AH KIOW,1949,male,chinese
12,Pahang,P.084 Paya Besar,1,PARTI KEADILAN RAKYAT (PKR),10852,0,lost,3410,MOHD JAFRI HJ ABDUL RASHID,1958,male,bumiputera
12,Pahang,P.084 Paya Besar,2,BARISAN NASIONAL (BN),19355,1,won,3411,ABDUL MANAN BIN ISMAIL,1949,male,bumiputera
12,Pahang,P.085 Pekan,1,PARTI KEADILAN RAKYAT (PKR),9798,0,lost,3412,KHAIRIL ANUAR,1977,male,bumiputera
12,Pahang,P.085 Pekan,2,BARISAN NASIONAL (BN),36262,1,won,1216,MOHD NAJIB BIN ABDUL RAZAK,1954,male,bumiputera
12,Pahang,P.086 Maran,1,BARISAN NASIONAL (BN),15868,1,won,3413,ISMAIL BIN HJ ABDUL MUTTALIB,1955,male,bumiputera
12,Pahang,P.086 Maran,2,PARTI ISLAM SE MALAYSIA (PAS),9227,0,lost,3414,NASRUDIN HASSAN TANTAWI,1971,male,bumiputera
12,Pahang,P.087 Kuala Krau,1,BARISAN NASIONAL (BN),16165,1,won,1613,ISMAIL BIN MOHAMED SAID,1966,male,bumiputera
12,Pahang,P.087 Kuala Krau,2,PARTI ISLAM SE MALAYSIA (PAS),10900,0,lost,3415,KAMAL BIN ASHAARI,1971,male,bumiputera
