kod_kawasan,kawasan,nama,parti,negeri,vol
P095,Kluang Utara,Tiah Eng Bee,Perikatan (MCA),Johor,2
P096,Johore Tenggara,Syed Jaafar Albar,Perikatan (UMNO),Johor,2
P097,Pontian Utara,Sardon Jubir,Perikatan (UMNO),Johor,2
P098,Pontian Selatan,Ali Ahmad,Perikatan (UMNO),Johor,2
P099,Kluang Selatan,Chan Chong Wen,Perikatan (MCA),Johor,2
P100,Johore Bahru Timor,Fatimah Abdul Majid,Perikatan (UMNO),Johor,2
P101,Johore Bahru Barat,Rahmat Daud,Perikatan (UMNO),Johor,2
P102,Johore Timor,Ismail Abdul Rahman,Perikatan (UMNO),Johor,2
P103,Segamat Utara,Musa Hitam,Perikatan (UMNO),Johor,2
P103,Segamat Utara,Abdullah Mohd Salleh,Perikatan (UMNO),Johor,2
P104,Muar Utara,Ahmad Arshad,Perikatan (UMNO),Johor,2
P001,Perlis Utara,Othman Abdullah,Perikatan (UMNO),Perlis,3
P002,Perlis Selatan,Mokhtar Ismail,Perikatan (UMNO),Perlis,3
P003,Jitra-Padang Terap,Fatimah Hashim,Perikatan (UMNO),Kedah,3
P004,Kubang Pasu Barat,Abu Bakar Umar,PAS,Kedah,3
P005,Kota Star Utara,Mawardi Lebai Teh,PAS,Kedah,3
P006,Alor Star,Lim Pee Hung,Perikatan (MCA),Kedah,3
P007,Kuala Kedah,Senu Abdul Rahman,Perikatan (UMNO),Kedah,3
P007,Kuala Kedah,Tunku Abdul Rahman,Perikatan (UMNO),Kedah,3
P008,Kota Star Selatan,Yusof Rawa,PAS,Kedah,3
P009,Kedah Tengah,Khir Johari,Perikatan (UMNO),Kedah,3
P010,Jerai,Hanafiah Hussain,Perikatan (UMNO),Kedah,3
P011,Baling,Shafie Abdullah,Perikatan (UMNO),Kedah,3
P012,Sungei Patani,Azahari Md. Taib,Perikatan (UMNO),Kedah,3
P013,Kulim Utara,Bibi Aishah Hamid Don,Perikatan (UMNO),Kedah,3
P014,Kulim-Bandar Bahru,Tai Kuan Yang,Perikatan (MCA),Kedah,3
