vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
2,,,Sabah,,Pengiran Tahir Petra,,male,bumiputera,,,,
2,,,Larut Utara,Tuan,Tajudin Bin Ali,,male,bumiputera,,,,
2,,,Kulim,Tuan,Tai Kuan Yang,,male,chinese,,,,
2,,,Batu,Dr.,Tan Chee Khoon,,male,chinese,,,,
2,,,Bagan,Tuan,Tan Cheng Bee,,male,chinese,,,,
2,,,Bandar Melaka,Tuan,Tan Kee Gak,,male,chinese,,,,
2,,,Bukit Bintang,Tuan,Tan Toh Hong,,male,chinese,,,,
2,,,Sarawak,Tuan,Tan Tsak Yu,,male,chinese,,,,
2,,,Kluang Utara,Tuan,Tiah Eng Bee,,male,chinese,,,,
2,,,Singapore,Dr.,Toh Chin Chye,,male,chinese,,,,
2,,,Kampar,Tuan,Toh Theam Hock,,male,chinese,,,,
2,,,Sarawak,Penghulu,Francis Umpau Anak Empam,,male,bumiputera,,,,
2,,,Singapore,Tuan,Wee Toon Boon,,male,chinese,,,,
2,,,Sabah,Tuan,Yeh Pao Tze,,male,chinese,,,,
2,,,Bruas,Tuan,Yeoh Tat Beng,,male,chinese,,,,
2,,,Sarawak,Tuan,Stephen Yong Kuet Tze,,male,chinese,,,,
2,,,Singapore,Tuan,Yong Nyuk Lin,,male,chinese,,,,
2,,,Langat,Tuan Haji,Zakaria Bin Haji Mohd. Taib,,male,bumiputera,,,,
3,,,,Dato',Chik Mohamed Yusuf Bin Sheikh Abdul Rahman,,male,bumiputera,,,Yang Dipertua Dewan Rakyat,
3,,,Pekan,Y.A.B. Tun Haji,Abdul Razak Bin Dato' Hussein,,male,bumiputera,,Perdana Menteri,,
3,,,Johor Timor,Y.A.B. Tun Dr.,Ismail Bin Dato' Haji Abdul Rahman,,male,bumiputera,,Timbalan Perdana Menteri,,
3,,,Melaka Tengah,Tun,Tan Siew Sin,,male,chinese,,,,
3,,,Sungei Siput,Tun,V.T. Sambanthan,,male,indian,,,,
3,,,Pontian Utara,Tan Sri Haji,Sardon Bin Haji Jubir,,male,bumiputera,,,,
3,,,Kedah Tengah,Tuan,Mohamed Khir Johari,,male,bumiputera,,,,
3,,,Ulu Rajang,Tan Sri Temenggong,Jugah Anak Barieng,,male,bumiputera,,,,
3,,,Klang,Tan Sri,V. Manickavasagam,,male,indian,,,,
3,,,Kuala Kangsar,Tan Sri Haji,Mohamed Ghazali Bin Haji Jawi,,male,bumiputera,,,,
3,,,Melaka Utara,Tuan,Abdul Ghafar Bin Baba,,male,bumiputera,,,,
