vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,new_key,birth_year
13,P151,Johor,Simpang Renggam,3507,YB Datuk,Liang Teck Meng,1972.0,male,chinese,BN - GERAKAN,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P151.jpg,201,1972
12,P152,Johor,Kluang,3509,Y.B. Dato' Dr.,Hou Kok Chung,1963.0,male,chinese,BN - MCA,Timbalan Menteri Pengajian Tinggi,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P152-KLUANG.jpg,202,1963
12,P153,Johor,Sembrong,3510,Y.B. Dato' Seri,Hishammuddin bin Tun Hussein,1962.0,male,bumiputera,BN - UMNO,Menteri Dalam Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P153-SEMBRONG.jpg,203,1961
13,P153,Johor,Sembrong,3510,YB Dato' Seri,Hishammuddin bin Tun Hussein,1962.0,male,bumiputera,BN - UMNO,Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P153.jpg,203,1961
14,P153,Johor,SEMBRONG,3510,YB DATO' SERI,HISHAMMUDDIN TUN HUSSEIN,1962.0,male,bumiputera,BN - UMNO,Menteri Kanan Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.153-SEMBRONG.png,203,1961
15,P153,Johor,Sembrong,3510,YB Dato' Seri,Hishammuddin bin Datuk Hussein,1961.0,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P153.png,203,1961
12,P154,Johor,Mersing,3512,Y.B. Datuk Dr. Haji,Abdul Latiff bin Ahmad,1959.0,male,bumiputera,BN - UMNO,Timbalan Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P154-MERSING2.jpg,204,1959
13,P154,Johor,Mersing,3512,YB Datuk Dr. Haji,Abd. Latiff Bin Ahmad,1959.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P154.jpg,204,1959
14,P154,Johor,MERSING,3512,YB DATUK DR. HAJI,ABDUL LATIFF BIN AHMAD,1959.0,male,bumiputera,BERSATU,Menteri di Jabatan Perdana Menteri (Tugas-Tugas Khas),,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.154-MERSING.png,204,1959
12,P155,Johor,Tenggara,3515,Y.B. Datuk,Halimah binti Mohd Sadique,1962.0,female,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P155-TENGGARA.jpg,205,1962
13,P155,Johor,Tenggara,3515,YB Datuk,Halimah Binti Mohd Sadique,1962.0,female,bumiputera,BN - UMNO,"Timbalan Menteri Kesejahteraan Bandar, Perumahan Dan Kerajaan Tempatan",,https://www.parlimen.gov.my/images/webuser/ahli/2013/P155.jpg,205,1962
14,P156,Johor,KOTA TINGGI,3515,YB DATUK,HALIMAH BINTI MOHAMED SADIQUE,1962.0,female,bumiputera,BN - UMNO,Menteri Perpaduan Negara,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.156-KOTA TINGGI.png,205,1962
12,P156,Johor,Kota Tinggi,3516,Y.B. Tan Sri Datuk Seri,Syed Hamid bin Syed Jaafar Albar,1944.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P156-KOTATINGGI2.jpg,206,1944
12,P157,Johor,Pengerang,3518,Y.B. Dato' Sri,Azalina Dato' Othman Said,1964.0,female,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/azalina.othman[1].jpg,207,1964
13,P157,Johor,Pengerang,3518,YB Dato' Sri,Azalina binti Dato' Othman Said,1964.0,female,bumiputera,BN - UMNO,Menteri Di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P157.jpg,207,1964
