author_id,vol,author,birth_year,sex,ethnicity,party,negeri,area,kod_kawasan,exec_posts,service_posts,start_date,end_date
4102,15,KESAVAN A/L SUBRAMANIAM,1972,male,indian,PH,Perak,Sungai Siput,P062,,,2022-11-19,
4104,14,AHMAD FAIZAL BIN AZUMU,1971,male,bumiputera,BERSATU,Perak,TAMBUN,P063,Menteri Belia dan Sukan,,2018-05-09,2022-10-10
4105,14,WONG KAH WOH,1980,male,chinese,PH - DAP,Perak,IPOH TIMUR,P064,,,2018-05-09,2022-10-10
4105,15,WONG KAH WOH,1980,male,chinese,PH,Perak,Taiping,P060,Timbalan Menteri Pendidikan,,2022-11-19,
4109,13,MASTURA BINTI TAN SRI DATO' MOHD YAZID,1962,female,bumiputera,BN - UMNO,Perak,Kuala Kangsar,P067,,,2016-06-18,2018-04-07
4109,14,MASTURA BINTI TAN SRI DATO' MOHD YAZID,1962,female,bumiputera,BN - UMNO,Perak,KUALA KANGSAR,P067,Timbalan Menteri di Jabatan Perdana Menteri (Tugas-Tugas Khas),,2018-05-09,2022-10-10
4126,14,CHANG LIH KANG,1980,male,chinese,PH - PKR,Perak,TANJONG MALIM,P077,,,2018-05-09,2022-10-10
4126,15,CHANG LIH KANG,1980,male,chinese,PH,Perak,Tanjong Malim,P077,"Menteri Sains, Teknologi dan Inovasi",,2022-11-19,
4128,14,SIVARRAAJH CHANDRAN,1976,male,indian,BN - MIC,Pahang,CAMERON HIGHLANDS,P078,,,2018-05-09,2018-11-30
4128,15,SIVARRAAJH CHANDRAN,1976,male,indian,MIC,,,,,Ahli Dewan Negara,2023-03-20,2026-03-19
4133,14,ZULPURI SHAH BIN RAJA PUJI,1965,male,bumiputera,PH - DAP,Pahang,RAUB,P080,,,2018-05-09,2022-10-10
4140,14,MOHD SHAHAR BIN ABDULLAH,1980,male,bumiputera,BN - UMNO,Pahang,PAYA BESAR,P084,Timbalan Menteri Kewangan I,,2018-05-09,2022-10-10
4140,15,MOHD SHAHAR BIN ABDULLAH,1980,male,bumiputera,BN,Pahang,Paya Besar,P084,,,2022-11-19,
4152,14,MOHD. ANUAR MOHD. TAHIR,1953,male,bumiputera,PH - AMANAH,Pahang,TEMERLOH,P088,,,2018-05-09,2022-10-10
4157,13,HASAN BIN ARIFIN,1953,male,bumiputera,BN - UMNO,Pahang,Rompin,P091,,,2015-05-05,2018-04-07
4157,14,HASAN BIN ARIFIN,1953,male,bumiputera,BN - UMNO,Pahang,ROMPIN,P091,,,2018-05-09,2022-10-10
4160,14,MUSLIMIN BIN YAHAYA,1967,male,bumiputera,BERSATU,Selangor,SUNGAI BESAR,P093,Timbalan Menteri Pembangunan Usahawan dan Koperasi,,2018-05-09,2022-10-10
4160,15,MUSLIMIN BIN YAHAYA,1967,male,bumiputera,PN,Selangor,Sungai Besar,P093,,,2022-11-19,
4161,13,BUDIMAN BIN MOHD ZOHDI,1972,male,bumiputera,BN - UMNO,Selangor,Sungai Besar,P093,,,2013-05-05,2016-06-18
4163,14,JUNE LEOW HSIAD HUI,1965,female,chinese,PH - PKR,Selangor,HULU SELANGOR,P094,,,2018-05-09,2022-10-10
4177,14,HASANUDDIN BIN MOHD YUNUS,1965,male,bumiputera,PH - AMANAH,Selangor,HULU LANGAT,P101,,,2018-05-09,2022-10-10
4186,14,MARIA CHIN BINTI ABDULLAH,1957,female,bumiputera,PH - PKR,Selangor,PETALING JAYA,P105,,,2018-05-09,2022-10-10
4200,14,XAVIER JAYAKUMAR A/L ARULANANDAM,1953,male,indian,PH - PKR,Selangor,KUALA LANGAT,P112,,,2018-05-09,2021-03-13
4200,14,XAVIER JAYAKUMAR A/L ARULANANDAM,1953,male,indian,BEBAS,Selangor,KUALA LANGAT,P112,,,2021-03-13,2022-10-01
4200,14,XAVIER JAYAKUMAR A/L ARULANANDAM,1953,male,indian,PBM,Selangor,KUALA LANGAT,P112,,,2022-10-01,2022-10-10
4207,14,PRABAKARAN A/L M PARAMESWARAN,1996,male,indian,BEBAS,Kuala Lumpur,BATU,P115,,,2018-05-09,2018-05-13
4207,14,PRABAKARAN A/L M PARAMESWARAN,1996,male,indian,PH - PKR,Kuala Lumpur,BATU,P115,,,2018-05-13,2022-10-10
4207,15,PRABAKARAN A/L M PARAMESWARAN,1996,male,indian,PH,Kuala Lumpur,Batu,P115,,,2022-11-19,
4212,14,HANNAH YEOH TSEOW SUAN,1979,female,chinese,PH - DAP,Kuala Lumpur,SEGAMBUT,P117,,,2018-05-09,2022-10-10
4212,15,HANNAH YEOH TSEOW SUAN,1979,female,chinese,PH,Kuala Lumpur,Segambut,P117,Menteri Belia dan Sukan,,2022-11-19,
4213,14,NIK NAZMI BIN NIK AHMAD,1982,male,bumiputera,PH - PKR,Kuala Lumpur,SETIAWANGSA,P118,,,2018-05-09,2022-10-10
